url,alt,caption,credit
"https://s3.amazonaws.com/snwceomedia/ids/f5473f8f-1da5-43ae-bc45-7fbeaa102b39.original.jpg","A biker jumps on their bike while another runs ahead","Phi Gamma Delta cyclists switch out riders during qualifications for the Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. Phi Gamma Delta placed third in the qualifying race.","Sophia Kaplan"
"https://s3.amazonaws.com/snwceomedia/ids/9f4be049-ffc7-4623-aea4-49b3624e1f4b.original.jpg","biker smiles while passing in front of cheering fans","Fans cheer on a cylist during qualifications for the Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. Acacia finished 30th in the qualifying race.","Jimmy Rush"
"https://s3.amazonaws.com/snwceomedia/ids/767227fa-c417-44c3-b25a-dd7b94a6a4d8.original.jpg","biker starts peddaling on a track","Cyclists for Salt Company trade a bike during qualifications for the Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. Salt finished 11th in the qualifying race.","Jimmy Rush"
"https://s3.amazonaws.com/snwceomedia/ids/cbe9d473-104e-4be8-a309-298690e864e7.original.jpg","a biker falls off of their bike infront of a another biker","Cyclists for Christian Student Fellowship crash during qualifications for the Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. The CSF women's team finished 19th in the 2025 Little 500.","Jimmy Rush"
"https://s3.amazonaws.com/snwceomedia/ids/cdbb1828-d565-4387-89d4-4cb1203d1cf3.original.jpg","three bikers smile while looking at each other","MaryClaire Swanson (left), Libby Lewis (middle) and Ellie Marsela (right) celebrate after Alpha Chi Omega finishes in the Little 500 qualifications March 28, 2026, at Bill Armstrong Stadium in Bloomington. Alpha Chi Omega finished third in the qualifying race.","Jack Jernigan"
"https://s3.amazonaws.com/snwceomedia/ids/49bd2519-83aa-4d51-a6cd-04034880d158.original.jpg","two bikers hug","Members of Alpha Epsilon Phi celebrate March 28, 2026, at Bill Armstrong Stadium in Bloomington. The team qualified for the Little 500 race with a time of 03.07.675.","Briana Pace"
"https://s3.amazonaws.com/snwceomedia/ids/4ace593a-d93c-4ae2-a75e-a4ff81a27902.original.jpg","two bikers handoff their bike","Forest Cycling cyclist Griffin Murphy, hands off a bicycle to Joseph Grimes, in the Little 500 qualifications March 28, 2026, at Bill Armstrong Stadium in Bloomington. Forest finished 12th in the qualifying race.","Jack Jernigan"
"https://s3.amazonaws.com/snwceomedia/ids/6bd00b3d-7981-42d0-8d1c-916e24e9731b.original.jpg","A biker perpares to pedal while another celebrates behind them","Walker Kight (left) hands off a bicycle to Trevor Lichtenstein (right) for Phi Gamma Delta during the Little 500 qualifications March 28, 2026, at Bill Armstrong Stadium in Bloomington. Phi Gamma Delta finished third in the qualifying race.","Jack Jernigan"
"https://s3.amazonaws.com/snwceomedia/ids/dce85f73-0a15-4540-82c4-8121dd6a128b.original.jpg","A biker jumps onto their bike","A member of Army Cycling completes an exchange March 28, 2026, at Bill Armstrong Stadium in Bloomington. The team qualified for the Little 500 race with a time of 02.42.857, the slowest of the 33 teams.","Briana Pace"
"https://s3.amazonaws.com/snwceomedia/ids/568574c9-ffda-4e2e-9fd4-7bedce1af1cc.original.jpg","two disappointed bikers are next to a fallen bike","Alpha Kappa Lambda faults March 28, 2026, at Bill Armstrong Stadium in Bloomington. On their second attempt, the team qualified for the Little 500 race with a time of 02.40.640.","Briana Pace"
